단어	품사	빈도
일	일반명사	63
사람	일반명사	52
마음	일반명사	52
부인	일반명사	34
속	일반명사	33
한울	일반명사	31
세계	일반명사	27
정성	일반명사	26
도	일반명사	25
한우	일반명사	19
교구	일반명사	19
종교	일반명사	18
복	일반명사	17
조	일반명사	16
교	일반명사	16
말	일반명사	15
실기	일반명사	14
천도교	일반명사	14
문답	일반명사	14
글	일반명사	14
청년	일반명사	14
사랑	일반명사	14
봄	일반명사	13
벗	일반명사	13
이야기	일반명사	12
세상	일반명사	12
노래	일반명사	11
선생	일반명사	11
이치	일반명사	11
불교	일반명사	11
천뢰	고유명사	18
추도	고유명사	13
조선	고유명사	11
봉훈	고유명사	11
명호	고유명사	9
임필록	고유명사	9
아관	고유명사	8
조	고유명사	6
솔로구프	고유명사	6
충복	고유명사	5
대신사	고유명사	5
경성	고유명사	5
캔터베리	고유명사	4
남산	고유명사	4
금강산	고유명사	3
미국	고유명사	3
일	고유명사	3
가찬	고유명사	3
석존전	고유명사	3
김병태	고유명사	3
해몽	고유명사	3
크리스마스	고유명사	3
한울	고유명사	3
동경	고유명사	3
삼생인과설	고유명사	2
예수	고유명사	2
워싱턴	고유명사	2
독일	고유명사	2
공육자	고유명사	2
에디슨	고유명사	2
대하	동사	55
하	동사	22
구하	동사	18
믿	동사	16
알	동사	13
받	동사	12
되	동사	11
가	동사	10
보지하	동사	10
쓰	동사	9
읽	동사	9
힘쓰	동사	9
오	동사	8
따르	동사	8
보	동사	7
잡	동사	7
차	동사	7
죽	동사	7
나	동사	7
닦	동사	7
사랑하	동사	6
건지	동사	6
모시	동사	5
돌아오	동사	5
살리	동사	4
말하	동사	4
잘하	동사	4
개벽하	동사	4
돌	동사	4
주	동사	4
크	형용사	34
있	형용사	15
없	형용사	11
무궁하	형용사	8
어리	형용사	7
바람내	형용사	7
무국하	형용사	6
같	형용사	5
지극하	형용사	5
무섭	형용사	4
귀하	형용사	3
어떠하	형용사	3
어렵	형용사	3
슬프	형용사	3
급하	형용사	3
이르	형용사	2
좋	형용사	2
기이하	형용사	2
반갑	형용사	2
독실하	형용사	2
거룩하	형용사	2
바르	형용사	2
무극하	형용사	2
굳	형용사	2
멀	형용사	2
밝	형용사	2
한결같	형용사	2
높	형용사	2
고상하	형용사	1
자고하	형용사	1
