단어1	단어2	작가	공기어 사용 빈도	가장 많이 투고한 잡지
근황	보지하	金允慶	2	청춘
근황	보지하	羅始奎	2	청춘
근황	보지하	盧文熙	2	청춘
근황	보지하	申瑩澈	2	청춘
근황	보지하	願海生	2	청춘
글	보지하	金允慶	2	청춘
글	보지하	羅始奎	2	청춘
글	보지하	盧文熙	2	청춘
글	보지하	申瑩澈	2	청춘
글	보지하	願海生	2	청춘
일	하	金鳳國	2	천도교회월보
일	하	金聖喜	2	천도교회월보
일	하	盧福鉉	2	천도교회월보
일	하	吳知泳	2	천도교회월보
일	하	李尙俊	2	서광
교리	문답	용산교구어떤부인	16	천도교회월보
교리	문답	신텬옹	2	천도교회월보
무궁하	천지	信天翁	16	천도교회월보
무궁하	수	信天翁	16	천도교회월보
도	수	信天翁	16	천도교회월보
교리	부인	용산교구어떤부인	16	천도교회월보
잡	차	449	2	동서의학보
잡	차	451	2	동서의학보
잡	차	452	2	동서의학보
잡	차	453	2	동서의학보
잡	차	454	2	동서의학보
구하	마음	尹仁權	4	천도교회월보
구하	마음	敬天甫	2	천도교회월보
구하	마음	敬天生	2	천도교회월보
구하	마음	蘇來元	2	천도교회월보
구하	마음	신텬옹	2	천도교회월보
