장르	작가	편수
소설	申鼎言	112
소설	金東仁	75
소설	方仁根	65
소설	朴泰遠	62
소설	咸大勲	56
소설	嚴興燮	52
소설	李箕永	51
소설	梁建植	49
소설	蔡萬植	46
소설	金瑗根	43
수필	李軒求	74
수필	金文輯	51
수필	李光洙	50
수필	毛允淑	48
수필	李孝石	41
수필	崔永秀	38
수필	安懷南	36
수필	劉向	36
수필	李石薰	36
수필	李箕永	34
시	李光洙	91
시	金億	88
시	金光燮	64
시	馬鳴	56
시	李燦	52
시	柳致環	51
시	金泰午	50
시	毛允淑	40
시	朴木月	38
시	白石	38
평론	林和	53
평론	金文輯	44
평론	李軒求	44
평론	洪曉民	41
평론	白鐵	39
평론	金光燮	26
평론	崔載瑞	26
평론	李泰俊	25
평론	李源朝	24
평론	朴勝極	24
희곡	柳致眞	8
희곡	宋影	7
희곡	朴芽枝	7
희곡	金玄松	6
희곡	金鎭壽	5
희곡	一心生	5
희곡	吳基順	5
희곡	約岸	4
희곡	金泰洽	4
희곡	李曙鄕	3
