단어	품사	빈도
문학	일반명사	290
밤	일반명사	218
봄	일반명사	183
여인	일반명사	149
노래	일반명사	148
가을	일반명사	129
영화	일반명사	128
문단	일반명사	117
마음	일반명사	113
생활	일반명사	104
작가	일반명사	103
꿈	일반명사	100
사상	일반명사	99
시	일반명사	98
이야기	일반명사	97
눈	일반명사	95
풍경	일반명사	92
세계	일반명사	92
길	일반명사	91
속	일반명사	91
일	일반명사	88
사랑	일반명사	87
예술	일반명사	87
추억	일반명사	85
여자	일반명사	85
소설	일반명사	84
어머니	일반명사	84
바다	일반명사	83
문예	일반명사	83
처녀	일반명사	76
조선	고유명사	266
중국	고유명사	117
무제	고유명사	35
동경	고유명사	34
춘원	고유명사	31
송구영신	고유명사	28
미국	고유명사	28
경성	고유명사	28
서울	고유명사	27
제	고유명사	24
방문기	고유명사	22
독일	고유명사	20
톨스토이	고유명사	20
영국	고유명사	19
프랑스	고유명사	19
일	고유명사	18
고리키	고유명사	17
여수	고유명사	17
예수	고유명사	17
심원	고유명사	17
조선고대명공열전	고유명사	17
코스모스	고유명사	16
이	고유명사	16
평양	고유명사	16
파리	고유명사	14
가을밤	고유명사	14
완	고유명사	14
유럽	고유명사	14
이광수	고유명사	14
북경	고유명사	13
가	동사	150
대하	동사	116
보	동사	108
오	동사	100
보내	동사	88
하	동사	86
찾	동사	79
되	동사	78
울	동사	42
읽	동사	38
주	동사	33
잃	동사	33
제하	동사	29
내리	동사	29
피	동사	28
떠나	동사	28
위하	동사	27
알	동사	27
받	동사	27
타	동사	26
말하	동사	26
사랑하	동사	25
잡	동사	25
듣	동사	24
들	동사	23
잊	동사	23
서	동사	22
쓰	동사	22
맞	동사	21
모르	동사	20
있	형용사	93
없	형용사	72
그립	형용사	70
푸르	형용사	34
슬프	형용사	31
젊	형용사	27
좋	형용사	25
필요하	형용사	24
어떠하	형용사	23
아름답	형용사	22
깊	형용사	22
어리	형용사	18
많	형용사	18
곱	형용사	17
희	형용사	15
같	형용사	14
붉	형용사	12
크	형용사	12
새롭	형용사	11
이렇	형용사	11
위대하	형용사	10
외롭	형용사	9
멀	형용사	8
영원하	형용사	8
어떻	형용사	8
길	형용사	8
작	형용사	8
그렇	형용사	8
불쌍하	형용사	8
이상하	형용사	8
