단어1	단어2	작가	공기어 사용 빈도	가장 많이 투고한 잡지
사상	중국	劉向	124	월간야담
사상	중국	崔文鎭	2	야담
사상	여인	劉向	124	월간야담
여인	열전	劉向	124	월간야담
문학	조선	洪曉民	10	조선문학
문학	조선	金南天	4	조광
문학	조선	李泰俊	4	문장
문학	조선	林和	4	조광
문학	조선	金文輯	4	조광
영화	조선	徐光霽	12	조광
영화	조선	朴基采	4	조광
영화	조선	申敬均	4	조광
영화	조선	安夕影	4	조광
영화	조선	吳泳鎭	2	박문
일	하	朴八陽	2	삼천리
일	하	金敎臣	2	성서조선
일	하	金來成	2	소년(1937)
일	하	金聲遠	2	신동아
일	하	金允經	2	신동아
플랜	피서	金東鳴	2	신동아
플랜	피서	2887	2	신동아
플랜	피서	2888	2	신동아
플랜	피서	具滋玉	2	신동아
플랜	피서	金敬注	2	신동아
문단	조선	安夕影	12	조광
문단	조선	洪曉民	6	조선문학
문단	조선	金文輯	4	조광
문단	조선	方仁根	4	조광
문단	조선	朴勝極	2	비판
눈	오	朴花城	6	신가정
눈	오	盧子泳	4	신인문학
눈	오	盧天命	2	여성
눈	오	朴榮濬	2	사해공론
눈	오	辛夕汀	2	시건설
감회	송구영신	洪命憙	2	삼천리
감회	송구영신	田榮澤	2	새사람
감회	송구영신	高裕燮	2	조광
감회	송구영신	金道泰	2	신동아
감회	송구영신	金美理士	2	신동아
