장르	작가	편수
소설	方定煥	65
소설	梁建植	36
소설	廉尙燮	31
소설	玄鎭健	25
소설	金東仁	18
소설	止齋	18
소설	李石薫	16
소설	延星欽	15
소설	朴達成	15
소설	宋影	11
수필	朴達成	51
수필	金基鎭	14
수필	李光洙	12
수필	金起田	11
수필	李定鎬	11
수필	朴勝喆	10
수필	朴思稷	10
수필	金明昊	9
수필	方定煥	9
수필	吳知泳	9
시	金億	151
시	金炯元	91
시	梁柱東	44
시	崔昇九	38
시	盧子泳	33
시	朱耀翰	33
시	吳相淳	25
시	卞榮魯	23
시	朴英熙	21
시	李一	18
평론	金億	31
평론	李光洙	16
평론	玄哲	12
평론	朴鍾和	9
평론	廉尙燮	8
평론	黃錫禹	8
평론	金瑗根	7
평론	金基鎭	7
평론	朴英熙	7
평론	梁柱東	6
희곡	玄哲	28
희곡	吳天錫	11
희곡	梁建植	7
희곡	韓錫源	6
희곡	尹敎重	6
희곡	金雲汀	4
희곡	方定煥	3
희곡	趙明熙	2
희곡	趙大鎬	2
희곡	秦金星	2
