단어1	단어2	작가	공기어 사용 빈도	가장 많이 투고한 잡지
빨래하	처녀	梁建植	56	동명
세계	시고	金億	48	개벽
사랑	승리	李石薫	28	청년
시	유아	553	4	청년
시	유아	554	4	청년
시	유아	555	4	청년
시	유아	556	4	청년
시	유아	557	4	청년
성자	아시시	宋影	22	청년
경매	영혼	方仁根	14	신생명(1923)
경매	영혼	槿谷生	8	신생명(1923)
성	성자	宋影	20	청년
성	프란치스코	宋影	20	청년
비	오	謹朝	2	시사평론
비	오	金基鎭	2	개벽
비	오	金億	2	개벽
비	오	路草	2	신생활
비	오	ㄷㅎ	2	산업계
계시	시골	ㅈㄷ아우	8	천도교회월보
계시	시골	朴達成	6	천도교회월보
계시	시골	김병준	2	부인
계시	시골	네눈이	2	개벽
계시	시골	현쵸아우	2	천도교회월보
