장르	작가	편수
소설	崔南善	8
소설	玩市生	3
소설	鄭錫鎔	2
소설	1	1
소설	沈相直	1
소설	6	1
소설	64	1
소설	7	1
소설	70	1
소설	75	1
수필	崔南善	13
수필	N.S.	2
수필	盧庭鶴	2
수필	崔正欽	1
수필	朴太緖	1
수필	蓬萊山人	1
수필	柳殷相	1
수필	李重雨	1
수필	安暎洙	1
수필	姜文煥	1
시	崔南善	14
시	崔正欽	2
시	崔鳴煥	1
시	95	1
시	73	1
시	78	1
시	79	1
시	81	1
시	84	1
시	87	1
평론	朴殷植	10
평론	金達河	3
평론	趙鏞周	2
평론	金鳳鉉	2
평론	崔鳴煥	1
평론	91	1
평론	94	1
평론	99	1
평론	一惺子	1
평론	任元宰	1
