단어1	단어2	빈도
비스마르크	청화	18
나폴레옹	제전	18
세계	쾌소년	12
세계	주유	12
시보	주유	12
로빈슨	무인절도	12
무인절도	표류기	12
교육	학교	12
교육	사회	12
애국	정신담	8
러시아	중흥	8
중흥	피터	8
대제	피터	8
이탈리아	통일	8
가리발디	통일	8
논어	소년	8
제전	혁신	8
전기	혁신	8
대한	삼면환해	8
대한	세계	8
세계	지위	8
사람	시	6
시보	제삼보	6
대한사	해상	6
개요	경성역사	6
가정	교육	6
관계	교육	6
김장군	덕령	4
덕령	소전	4
갑동이	을남이	4
상종	을남이	4
거인국	표류기	4
소년	시언	4
놀이	흑인	4
접전	제삼보	4
이	표류기	4
육삭일망간탑빙	표류기	4
말	하	4
다운	청년	4
월종시험	폐지	4
가부	폐지	4
개요	속	4
등산기	후지산	4
국가	자립	4
도덕	문학	4
관계	문학	4
관하	임진왜란	4
고문서	관하	4
고문서	삼도	4
반도	인문	4
이름	작품	2
기묘하	파란혁명당	2
계략	기묘하	2
법인	에밀라	2
애국	에밀라	2
서북제도	역사	2
정	평사문부	2
소사	평사문부	2
권학	시절	2
권학	충고	2
공망	까마귀	2
상종	일	2
근세	문화	2
문화	이대	2
원동력	이대	2
표트르	피터	2
대제	표트르	2
바다	이러하	2
바람	볕	2
수편	총론	2
도틀어	총론	2
도틀어	이야기	2
주인	할미	2
하인	할미	2
시보	제일보	2
짐승	크	2
소년	해	2
경부	철도	2
벌	봉	2
성진	이	2
대한	소년	2
시보	제이보	2
민충정공	소전	2
밥	벌레	2
소년	신대하	2
기백	대국민	2
수신	요령	2
에디슨	전기왕	2
소년	에디슨	2
소년	시절	2
란기	혁신	2
워싱턴	좌우명	2
소원	청년	2
자유	제곶	2
날	제곶	2
날	뜀	2
모란봉가	평양	2
좌우명	프랭클린	2
일	하	2
일	조곰	2
없	조곰	2
강반	떼	2
강반	방아꾼	2
까닭	꽃	2
꽃	피	2
사	표류기	2
사랑	애	2
승전	애	2
선생	톨스토이	2
교시	선생	2
교시	노동	2
노동	역작	2
복음	역작	2
오	표류기	2
논어	일	2
삼대	조손	2
선생	페스탈로치	2
선생	처세훈	2
육	전기	2
육	표류기	2
사물	세심하	2
논어	이	2
율곡	이이	2
선생	이이	2
선생	자경문	2
선생	스마일쓰	2
선생	용기	2
구	대한사	2
소리	헛일	2
상종	이	2
경쟁력	국가	2
바다	위	2
용소년	위	2
모르	성	2
모르	욕망	2
논어	사	2
아이	어른	2
선생	에픽테토스	2
선생	학자	2
학자	행의훈	2
이솝	이야기	2
이야기	제이	2
제이	차	2
이충무공	일사	2
만세	제국	2
시보	제사보	2
태백범	태백호	2
대제	일사	2
어록	프랭클린	2
놀이	이	2
반순성기	상	2
반순성기	중	2
자유	재판	2
누문	재판	2
문답	정당방위	2
모험	용진	2
용진	청년	2
천직	청년	2
구학	신학	2
관계	구학	2
가오	유감우대몽최지	2
가오	대소	2
가	대소	2
가	하	2
성패	일여각	2
국민	특성	2
교육	부흥이	2
부흥이	생존	2
개량	구습	2
단체	성부	2
문답	성부	2
사범	양성	2
급무	양성	2
의무	축	2
교육	의무	2
교육	실시	2
생활	인민	2
생활	자립	2
이루	자립	2
개성	평양	2
개성	발달	2
문약지별	필상	2
기국	필상	2
사람	사업	2
경쟁	사업	2
경쟁	말미암	2
말미암	발달하	2
세론	축첩	2
신년	축가	2
꿈	속	2
소문	속	2
때	호명하	2
슬	하나님	2
슬	풀	2
사정하	풀	2
노래	아이	2
경쟁	맹아	2
과라	자식	2
동양	협화	2
지식	협화	2
지식	평등	2
있	평등	2
꿈	모양	2
관풍기	오산	2
역사	한교육	2
대통령	미국	2
대통령	루스벨트	2
아이	재우	2
노래	재우	2
노래	해면	2
가	해면	2
국문	국어	2
국문	필요	2
신	자유	2
백성	소리	2
가을	뜻	2
일	지위	2
이	지위	2
가지	없	2
꽃	두	2
사	전기	2
막	물	2
오	전기	2
가늘	배	2
전기	칠	2
사람	어떠하	2
되	사람	2
소망	소한하	2
끼치	시	2
교육	자토벌대	2
공애도	민충정	2
