단어	품사	빈도
교육	일반명사	12
소년	일반명사	10
세계	일반명사	10
제전	일반명사	9
이	일반명사	7
쾌소년	일반명사	6
주유	일반명사	6
시보	일반명사	6
무인절도	일반명사	6
관계	일반명사	6
사람	일반명사	5
혁신	일반명사	5
선생	일반명사	5
애국	일반명사	4
정신담	일반명사	4
중흥	일반명사	4
시	일반명사	4
청년	일반명사	4
통일	일반명사	4
전기	일반명사	4
가정	일반명사	4
삼면환해	일반명사	4
지위	일반명사	4
일	일반명사	3
표류기	일반명사	3
자유	일반명사	3
사	일반명사	3
해상	일반명사	3
대한사	일반명사	3
아이	일반명사	3
비스마르크	고유명사	9
나폴레옹	고유명사	9
청화	고유명사	7
표류기	고유명사	7
로빈슨	고유명사	6
피터	고유명사	5
대제	고유명사	5
대한	고유명사	5
러시아	고유명사	4
이탈리아	고유명사	4
가리발디	고유명사	4
논어	고유명사	4
성진	고유명사	3
경성역사	고유명사	3
표트르대제전	고유명사	3
반도야화	고유명사	2
김장군	고유명사	2
덕령	고유명사	2
소전	고유명사	2
갑동이	고유명사	2
거인국	고유명사	2
제삼보	고유명사	2
육삭일망간탑빙	고유명사	2
평양	고유명사	2
프랭클린	고유명사	2
반순성기	고유명사	2
후지산	고유명사	2
등산기	고유명사	2
콜롬보전	고유명사	2
임진왜란	고유명사	2
하	동사	3
모르	동사	2
가	동사	2
관하	동사	2
날	동사	1
피	동사	1
알	동사	1
대	동사	1
잊어버리	동사	1
이루	동사	1
말미암	동사	1
발달하	동사	1
호명하	동사	1
슬	동사	1
풀	동사	1
사정하	동사	1
생각하	동사	1
가지	동사	1
두	동사	1
막	동사	1
되	동사	1
돌아오	동사	1
끼치	동사	1
없	형용사	2
기묘하	형용사	1
이러하	형용사	1
크	형용사	1
신대하	형용사	1
세심하	형용사	1
있	형용사	1
가늘	형용사	1
어떠하	형용사	1
소한하	형용사	1
