단어1	단어2	작가	공기어 사용 빈도	가장 많이 투고한 잡지
눈	오	金億	4	삼천리
눈	오	趙宗玄	4	동광
눈	오	朴芽枝	2	별나라
눈	오	李泰俊	2	신여성
눈	오	林學洙	2	신가정
봄	오	朴淚月	4	영화시대
봄	오	朴露兒	4	별건곤
봄	오	陸一信	4	동광
봄	오	金炳國	2	학생
봄	오	李泰俊	2	신여성
독자	양태	金東鳴	2	신동아
독자	양태	高秉國	2	신동아
독자	양태	高永煥	2	신동아
독자	양태	權悳奎	2	신동아
독자	양태	金瑗根	2	청년
문예	시평	白鐵	12	혜성(제일선)
문예	시평	安含光	10	비판
문예	시평	洪曉民	8	신동아
문예	시평	李東九	4	가톨릭청년
문예	시평	朴勝極	2	별나라
문학	조선	李光洙	6	동광
문학	조선	趙潤濟	6	조선어문학회보(조선어문)
문학	조선	朴英熙	4	삼천리
문학	조선	朴龍喆	4	아이생활
문학	조선	成大勳	4	조선문학
가	길	班禹巨	12	아이생활
가	길	劉載奇	4	종교시보
가	길	朴世永	2	별나라
가	길	1764	2	어린이
가	길	H.Y.R	2	애중
밤	오	金億	4	삼천리
밤	오	趙宗玄	4	동광
밤	오	崔永秀	4	신동아
밤	오	朴芽枝	2	별나라
밤	오	李燦	2	혜성(제일선)
비	오	姜鷺鄕	2	신소년
비	오	權景完	2	조선지광
비	오	금孔雀	2	조선(조선문)
비	오	金基鎭	2	신동아
비	오	金淚溪	2	동광
날	오	林學洙	2	신가정
날	오	金大駿	2	동광
날	오	權五順	2	어린이
날	오	金基鎭	2	신동아
날	오	金明淳	2	등대(1929)
봄	재미	李泰俊	2	신여성
봄	재미	金永八	2	어린이
봄	재미	金源珠	2	별건곤
봄	재미	朴露兒	2	어린이
봄	재미	朴達成	2	어린이
