단어	품사	빈도
봄	일반명사	238
노래	일반명사	237
밤	일반명사	185
가을	일반명사	165
이야기	일반명사	165
문학	일반명사	149
생활	일반명사	119
눈	일반명사	113
일	일반명사	110
속	일반명사	110
농촌	일반명사	106
어머니	일반명사	99
이	일반명사	99
여성	일반명사	98
마음	일반명사	97
사람	일반명사	97
세계	일반명사	96
날	일반명사	94
문예	일반명사	88
소설	일반명사	85
때	일반명사	84
소년	일반명사	78
여자	일반명사	78
추억	일반명사	78
고향	일반명사	77
동무	일반명사	76
영화	일반명사	75
길	일반명사	72
아침	일반명사	72
꽃	일반명사	72
조선	고유명사	223
러시아	고유명사	42
중국	고유명사	36
서울	고유명사	34
무제	고유명사	29
평양	고유명사	29
금강산	고유명사	28
상해	고유명사	26
이광수	고유명사	25
미국	고유명사	24
서해	고유명사	24
인도	고유명사	23
파리	고유명사	22
독일	고유명사	20
동경	고유명사	18
간디	고유명사	18
괴테	고유명사	18
신구식종횡관	고유명사	18
일본	고유명사	17
경성	고유명사	17
정조	고유명사	17
인상기	고유명사	16
백두산	고유명사	16
크리스마스	고유명사	15
유럽	고유명사	14
만주	고유명사	14
완	고유명사	13
애화	고유명사	13
현대	고유명사	12
소비에트	고유명사	12
가	동사	189
오	동사	165
보	동사	154
대하	동사	108
하	동사	80
되	동사	72
찾	동사	51
울	동사	47
보내	동사	47
쓰	동사	38
떠나	동사	34
맞	동사	34
피	동사	33
위하	동사	29
타	동사	28
듣	동사	28
나타나	동사	26
기다리	동사	26
알	동사	26
잊	동사	26
주	동사	25
들	동사	25
살	동사	24
읽	동사	24
잃	동사	22
넘	동사	22
생각하	동사	21
사랑하	동사	21
만나	동사	21
받	동사	21
없	형용사	74
있	형용사	63
그립	형용사	61
어리	형용사	44
젊	형용사	42
같	형용사	32
좋	형용사	19
그렇	형용사	17
이렇	형용사	16
이상하	형용사	16
어떻	형용사	15
붉	형용사	15
아름답	형용사	15
새롭	형용사	12
푸르	형용사	11
가난하	형용사	11
크	형용사	10
많	형용사	10
불쌍하	형용사	10
밝	형용사	10
조그맣	형용사	9
멀	형용사	9
슬프	형용사	9
적	형용사	9
싫	형용사	9
깊	형용사	9
길	형용사	8
고요하	형용사	8
참되	형용사	8
작	형용사	8
