장르	작가	편수
소설	金東仁	44
소설	李泰俊	43
소설	李無影	35
소설	嚴興燮	27
소설	姜敬愛	24
소설	方仁根	23
소설	尹敎重	23
소설	宋影	21
소설	李定鎬	21
소설	延星欽	21
수필	李光洙	94
수필	李泰俊	51
수필	蔡萬植	48
수필	李殷相	37
수필	方仁根	36
수필	金東煥	34
수필	金億	33
수필	朱耀翰	31
수필	金東仁	28
수필	金起林	27
시	金億	217
시	金起林	61
시	金東煥	59
시	異河潤	47
시	朱耀翰	47
시	金東鳴	42
시	金大駿	40
시	尹石重	40
시	金尙鎔	39
시	朴龍喆	38
평론	洪曉民	29
평론	白鐵	25
평론	金億	24
평론	李光洙	24
평론	朱耀翰	23
평론	朴英熙	21
평론	李秉岐	20
평론	安含光	19
평론	金瑗根	17
평론	咸大勲	17
희곡	蔡萬植	20
희곡	一心生	10
희곡	宋影	10
희곡	李無影	9
희곡	金永八	6
희곡	李石薰	4
희곡	한득수	4
희곡	南又薰	4
희곡	鄭寅燮	3
희곡	裵德榮	3
