단어	품사	빈도
이야기	일반명사	117
봄	일반명사	116
가을	일반명사	113
노래	일반명사	103
밤	일반명사	98
사람	일반명사	97
문예	일반명사	87
이	일반명사	83
때	일반명사	78
문학	일반명사	77
일	일반명사	74
눈	일반명사	73
선생	일반명사	68
아침	일반명사	62
문단	일반명사	62
꿈	일반명사	60
세계	일반명사	59
생활	일반명사	58
예술	일반명사	57
소년	일반명사	55
동무	일반명사	55
꽃	일반명사	53
여름	일반명사	52
농촌	일반명사	51
마음	일반명사	49
사랑	일반명사	49
운동	일반명사	47
달	일반명사	47
속	일반명사	46
어머니	일반명사	43
조선	고유명사	141
중국	고유명사	25
서울	고유명사	22
동경	고유명사	17
미국	고유명사	16
금강산	고유명사	15
향촌농노한화	고유명사	14
경성	고유명사	13
파리	고유명사	13
편집여언	고유명사	13
무제	고유명사	13
러시아	고유명사	12
칠칠	고유명사	12
조선어	고유명사	11
구미	고유명사	10
프랑스	고유명사	10
한화	고유명사	10
남산	고유명사	10
크리스마스	고유명사	9
일본	고유명사	9
이	고유명사	9
독일	고유명사	8
정조	고유명사	8
프로테스탄트	고유명사	8
합평회	고유명사	7
춘원	고유명사	7
톨스토이	고유명사	7
제군	고유명사	7
태평양	고유명사	7
경주	고유명사	7
가	동사	108
오	동사	94
보	동사	89
대하	동사	80
하	동사	58
찾	동사	43
되	동사	36
읽	동사	31
맞	동사	28
살	동사	25
울	동사	23
쓰	동사	22
생각하	동사	21
위하	동사	21
사랑하	동사	20
떠나	동사	20
기다리	동사	19
보내	동사	19
죽	동사	18
알	동사	17
받	동사	16
생각나	동사	14
들	동사	14
잡	동사	13
계시	동사	13
먹	동사	13
부르	동사	12
마치	동사	12
듣	동사	11
피	동사	11
그립	형용사	45
없	형용사	44
있	형용사	43
어리	형용사	36
이상하	형용사	14
젊	형용사	13
외롭	형용사	13
희	형용사	12
같	형용사	12
적	형용사	11
불쌍하	형용사	10
많	형용사	10
조그맣	형용사	8
새롭	형용사	8
아름답	형용사	8
크	형용사	8
좋	형용사	8
깊	형용사	8
작	형용사	7
거룩하	형용사	7
길	형용사	6
가난하	형용사	5
통쾌하	형용사	5
고요하	형용사	5
고적하	형용사	5
높	형용사	5
이렇	형용사	5
검	형용사	5
밝	형용사	5
무섭	형용사	5
