단어1	단어2	작가	공기어 사용 빈도	가장 많이 투고한 잡지
봄	오	李學仁	4	신인간
봄	오	洪又石	4	동광
봄	오	林和	2	조선지광
봄	오	康雲谷	2	백웅
봄	오	桂龍一	2	조선시단
눈	오	韓晶東	4	시종
눈	오	2881	2	별건곤
눈	오	2883	2	별건곤
눈	오	金南柱	2	신소년
눈	오	김채봉	2	장한
문단	조선	梁建植	8	동광
문단	조선	朴鍾和	6	조선문단
문단	조선	廉尙燮	4	조선문단
문단	조선	金基鎭	4	개벽
문단	조선	方仁根	4	조선문단
문예	시평	朴英熙	8	개벽
문예	시평	金基鎭	6	개벽
문예	시평	仁旺山人	4	조선강단
문예	시평	朴八陽	2	조선지광
문예	시평	韓雪野	2	조선지광
때	어리	967	2	조선시단
때	어리	景完	2	신소년
때	어리	金南柱	2	신소년
때	어리	方定煥	2	어린이
때	어리	徐相天	2	어린이
단	칠칠	方定煥	24	어린이
단	비밀	方定煥	24	어린이
명가	좌우명	廉尙燮	2	조선문단
명가	좌우명	田榮澤	2	조선문단
명가	좌우명	金允經	2	진생
명가	좌우명	金智煥	2	진생
명가	좌우명	文一平	2	별건곤
세계	일주	李定鎬	10	어린이
세계	일주	許憲	6	삼천리
세계	일주	金昌集	2	시조
세계	일주	如庵	2	신인간
세계	일주	趙基栞	2	신인간
가	길	金東鳴	2	조선문단
가	길	廉尙燮	2	조선문단
가	길	金寧鎭	2	신민
가	길	金仁湜	2	신문계
가	길	李相協	2	별건곤
