작가	편수	비율
총 작가 수	2946	-
金億	129	0.01521585279547063
李殷相	123	0.014508138711960368
方定煥	118	0.013918376975701816
李光洙	103	0.012149091766926162
朱耀翰	96	0.01132342533616419
方仁根	93	0.010969568294409059
朴達成	91	0.010733663599905638
梁柱東	88	0.010379806558150507
金東煥	81	0.009554140127388535
劉道順	80	0.009436187780136825
廉尙燮	76	0.008964378391129983
李學仁	74	0.008728473696626562
崔曙海	72	0.008492569002123142
金基鎭	65	0.00766690257136117
朴英熙	60	0.007077140835102618
梁建植	59	0.006959188487850908
黃錫禹	58	0.006841236140599198
崔獨鵑	55	0.006487379098844067
金寧鎭	49	0.005779665015333805
李相和	49	0.005779665015333805
車相瓚	47	0.005543760320830385
李秉岐	46	0.005425807973578675
朴八陽	44	0.005189903279075253
田榮澤	41	0.004836046237320123
李一	40	0.004718093890068413
張貞心	39	0.0046001415428167025
李定鎬	39	0.0046001415428167025
鄭寅普	37	0.004364236848313281
崔南善	36	0.004246284501061571
金東鳴	36	0.004246284501061571
鄭芝溶	34	0.004010379806558151
曹雲	33	0.00389242745930644
朱耀燮	31	0.0036565227648030197
李益相	28	0.0033026657230478887
金東仁	28	0.0033026657230478887
李箕永	28	0.0033026657230478887
李敦化	28	0.0033026657230478887
郭昌鉉	27	0.0031847133757961785
羅稻香	27	0.0031847133757961785
金南柱	26	0.003066761028544468
鄭寅燮	26	0.003066761028544468
鄭昞淳	25	0.0029488086812927577
金炯元	25	0.0029488086812927577
異河潤	25	0.0029488086812927577
金永八	25	0.0029488086812927577
金起田	25	0.0029488086812927577
延星欽	24	0.0028308563340410475
申明均	24	0.0028308563340410475
玄鎭健	24	0.0028308563340410475
李海月	24	0.0028308563340410475
任英彬	23	0.0027129039867893373
趙明熙	23	0.0027129039867893373
曺雲	23	0.0027129039867893373
李慶孫	23	0.0027129039867893373
崔相鉉	23	0.0027129039867893373
崔昇九	22	0.0025949516395376267
鄭烈模	22	0.0025949516395376267
李允宰	22	0.0025949516395376267
申瑩澈	22	0.0025949516395376267
李章熙	22	0.0025949516395376267
李泰俊	22	0.0025949516395376267
金大駿	21	0.0024769992922859165
柳光烈	21	0.0024769992922859165
秦宗爀	21	0.0024769992922859165
韓晶東	21	0.0024769992922859165
韓雪野	21	0.0024769992922859165
盧子泳	20	0.0023590469450342063
裵相哲	20	0.0023590469450342063
崔承一	20	0.0023590469450342063
白大鎭	20	0.0023590469450342063
都是春	20	0.0023590469450342063
李晟煥	20	0.0023590469450342063
살별	20	0.0023590469450342063
朴鍾和	20	0.0023590469450342063
金允經	19	0.0022410945977824957
韓昌東	19	0.0022410945977824957
孫晋泰	19	0.0022410945977824957
李浩盛	19	0.0022410945977824957
尹基鼎	18	0.0021231422505307855
金振九	18	0.0021231422505307855
李軒求	18	0.0021231422505307855
咸鳳弼	17	0.0020051899032790753
丁來東	17	0.0020051899032790753
朴芽枝	17	0.0020051899032790753
高漢承	17	0.0020051899032790753
洪曉民	17	0.0020051899032790753
孟柱天	16	0.001887237556027365
宋影	16	0.001887237556027365
林然	16	0.001887237556027365
林和	15	0.0017692852087756545
兪鎭午	15	0.0017692852087756545
李鍾鳴	15	0.0017692852087756545
崔京化	15	0.0017692852087756545
卓相銖	15	0.0017692852087756545
嚴興燮	14	0.0016513328615239443
權景完	14	0.0016513328615239443
馬海松	14	0.0016513328615239443
尹敎重	14	0.0016513328615239443
金晉燮	13	0.001533380514272234
宋順鎰	13	0.001533380514272234
金泰午	13	0.001533380514272234
柳完熙	13	0.001533380514272234
李亮	12	0.0014154281670205238
三峯	12	0.0014154281670205238
吳天錫	12	0.0014154281670205238
惠星	12	0.0014154281670205238
李子順	12	0.0014154281670205238
金明淳	12	0.0014154281670205238
卞榮魯	12	0.0014154281670205238
柳順根	12	0.0014154281670205238
李尙大	12	0.0014154281670205238
許文日	12	0.0014154281670205238
太虛	12	0.0014154281670205238
權春	12	0.0014154281670205238
梁在應	11	0.0012974758197688134
鄭在洽	11	0.0012974758197688134
金乙漢	11	0.0012974758197688134
李暎燮	11	0.0012974758197688134
張膺震	11	0.0012974758197688134
赤駒	11	0.0012974758197688134
蔡弼近	11	0.0012974758197688134
許竹齋	10	0.0011795234725171032
丁榮泰	10	0.0011795234725171032
李元壽	10	0.0011795234725171032
李炳華	10	0.0011795234725171032
金明昊	10	0.0011795234725171032
金素月	10	0.0011795234725171032
崔常壽	10	0.0011795234725171032
楊致中	10	0.0011795234725171032
安在鴻	9	0.0010615711252653928
李貞求	9	0.0010615711252653928
昇應順	9	0.0010615711252653928
안신부	9	0.0010615711252653928
金東進	9	0.0010615711252653928
崔奎東	9	0.0010615711252653928
李源圭	9	0.0010615711252653928
白基萬	9	0.0010615711252653928
崔鉉培	9	0.0010615711252653928
李應洙	9	0.0010615711252653928
權淵龜	9	0.0010615711252653928
不知憂生	9	0.0010615711252653928
禹國華	9	0.0010615711252653928
朴裕秉	9	0.0010615711252653928
金永鎭	9	0.0010615711252653928
春曙	9	0.0010615711252653928
許三峯	9	0.0010615711252653928
鄭泰淵	9	0.0010615711252653928
孫宁聲	9	0.0010615711252653928
松完淳	8	0.0009436187780136825
高長煥	8	0.0009436187780136825
姜炳周	8	0.0009436187780136825
權悳奎	8	0.0009436187780136825
李慧淑	8	0.0009436187780136825
玄哲	8	0.0009436187780136825
沈熏	8	0.0009436187780136825
진대선	8	0.0009436187780136825
萍舟	8	0.0009436187780136825
게일	8	0.0009436187780136825
秦長燮	8	0.0009436187780136825
白東均	8	0.0009436187780136825
趙焞奎	8	0.0009436187780136825
李相協	8	0.0009436187780136825
金昌述	8	0.0009436187780136825
李燦	8	0.0009436187780136825
李瑄根	8	0.0009436187780136825
南應孫	8	0.0009436187780136825
朴魯哲	8	0.0009436187780136825
許永鎬	7	0.0008256664307619722
金炳昊	7	0.0008256664307619722
崔仁俊	7	0.0008256664307619722
安平原	7	0.0008256664307619722
白紅生	7	0.0008256664307619722
柳志永	7	0.0008256664307619722
李石薫	7	0.0008256664307619722
趙白萩	7	0.0008256664307619722
尹福鎭	7	0.0008256664307619722
尹斗守	7	0.0008256664307619722
李晩宰	7	0.0008256664307619722
紅樹洞人	7	0.0008256664307619722
蔡萬植	7	0.0008256664307619722
趙月光	7	0.0008256664307619722
李瑞求	7	0.0008256664307619722
壽春學人	7	0.0008256664307619722
鄭箕煥	7	0.0008256664307619722
柳光烈	7	0.0008256664307619722
田有德	7	0.0008256664307619722
張孝燮	7	0.0008256664307619722
尹石重	7	0.0008256664307619722
朴泰遠	6	0.0007077140835102619
太華山人	6	0.0007077140835102619
孔鎭恒	6	0.0007077140835102619
尹源善	6	0.0007077140835102619
翠雲生	6	0.0007077140835102619
曉路	6	0.0007077140835102619
李久月	6	0.0007077140835102619
柳葉	6	0.0007077140835102619
陸敏哲	6	0.0007077140835102619
洪秉璇	6	0.0007077140835102619
李淳英	6	0.0007077140835102619
崔讚植	6	0.0007077140835102619
李潤柱	6	0.0007077140835102619
李璟魯	6	0.0007077140835102619
鄭秀日	6	0.0007077140835102619
金浪雲	6	0.0007077140835102619
車相璨	6	0.0007077140835102619
擔雪學人	6	0.0007077140835102619
鄭寅翼	6	0.0007077140835102619
孫晉泰	6	0.0007077140835102619
孫錦山	6	0.0007077140835102619
滄隱	6	0.0007077140835102619
都鎭鎬	6	0.0007077140835102619
崔秉和	6	0.0007077140835102619
鄭錫泰	6	0.0007077140835102619
丁洪敎	6	0.0007077140835102619
鏡花	6	0.0007077140835102619
蘇瑢叟	6	0.0007077140835102619
趙基栞	6	0.0007077140835102619
星南生	6	0.0007077140835102619
蘭村	6	0.0007077140835102619
金蘭村	6	0.0007077140835102619
李孝石	6	0.0007077140835102619
曺定昊	6	0.0007077140835102619
崔秉瑞	6	0.0007077140835102619
李海文	6	0.0007077140835102619
崔麟	6	0.0007077140835102619
李浩	6	0.0007077140835102619
金唆燁	6	0.0007077140835102619
金秉濬	6	0.0007077140835102619
安夕影	6	0.0007077140835102619
金秉濟	6	0.0007077140835102619
白洲	6	0.0007077140835102619
韓龍雲	6	0.0007077140835102619
金雲汀	5	0.0005897617362585516
봄물결	5	0.0005897617362585516
尹東墟	5	0.0005897617362585516
白鐵	5	0.0005897617362585516
吳一島	5	0.0005897617362585516
閔台原	5	0.0005897617362585516
金瑗根	5	0.0005897617362585516
宋鎭禹	5	0.0005897617362585516
白松庵	5	0.0005897617362585516
姜邁	5	0.0005897617362585516
文一平	5	0.0005897617362585516
姜晟周	5	0.0005897617362585516
墨峯	5	0.0005897617362585516
金辰郁	5	0.0005897617362585516
柳雲卿	5	0.0005897617362585516
裵希濟	5	0.0005897617362585516
黃喆周	5	0.0005897617362585516
金智煥	5	0.0005897617362585516
유문	5	0.0005897617362585516
金宙遠	5	0.0005897617362585516
洪命憙	5	0.0005897617362585516
李福女	5	0.0005897617362585516
金永煥	5	0.0005897617362585516
郭蘭史	5	0.0005897617362585516
李在鉉	5	0.0005897617362585516
玄洲	5	0.0005897617362585516
姜裕文	5	0.0005897617362585516
金奭泳	5	0.0005897617362585516
林圭	5	0.0005897617362585516
張漢軫	5	0.0005897617362585516
赤羅仙人	5	0.0005897617362585516
錢鍾煥	5	0.0005897617362585516
金明燁	5	0.0005897617362585516
鄭大鉉	5	0.0005897617362585516
韓稚振	5	0.0005897617362585516
한밭	5	0.0005897617362585516
趙潤濟	5	0.0005897617362585516
曺在浩	5	0.0005897617362585516
韓基岳	5	0.0005897617362585516
金敬琢	5	0.0005897617362585516
河泰鏞	5	0.0005897617362585516
止齊	5	0.0005897617362585516
權九玄	5	0.0005897617362585516
鐵鼓	5	0.0005897617362585516
崔泳柱	5	0.0005897617362585516
崔義順	5	0.0005897617362585516
崔昶楠	5	0.0005897617362585516
李一星	5	0.0005897617362585516
鄭順貞	5	0.0005897617362585516
朴敬植	5	0.0005897617362585516
姜愛泉	5	0.0005897617362585516
李性默	5	0.0005897617362585516
李大偉	5	0.0005897617362585516
이관구	5	0.0005897617362585516
李揆元	5	0.0005897617362585516
選者	4	0.00047180938900684123
趙東植	4	0.00047180938900684123
鄭河普	4	0.00047180938900684123
白仁玉	4	0.00047180938900684123
丹頂鶴	4	0.00047180938900684123
蘆風	4	0.00047180938900684123
白波	4	0.00047180938900684123
盧正煥	4	0.00047180938900684123
李能和	4	0.00047180938900684123
桂鎔默	4	0.00047180938900684123
南柱	4	0.00047180938900684123
韓三淳	4	0.00047180938900684123
李無影	4	0.00047180938900684123
李炳虎	4	0.00047180938900684123
白羽	4	0.00047180938900684123
徐德出	4	0.00047180938900684123
羅龍煥	4	0.00047180938900684123
李雲	4	0.00047180938900684123
韓帆波	4	0.00047180938900684123
金活蘭	4	0.00047180938900684123
薛義植	4	0.00047180938900684123
曺山江	4	0.00047180938900684123
기환	4	0.00047180938900684123
鄭春澤	4	0.00047180938900684123
KM生	4	0.00047180938900684123
崔賢柱	4	0.00047180938900684123
흰새	4	0.00047180938900684123
朴東道	4	0.00047180938900684123
尹曉峰	4	0.00047180938900684123
먹뫼	4	0.00047180938900684123
崔瓚植	4	0.00047180938900684123
朴勝進	4	0.00047180938900684123
崔瑨淳	4	0.00047180938900684123
萬年雪	4	0.00047180938900684123
李光烈	4	0.00047180938900684123
朴瓚熙	4	0.00047180938900684123
白陽桓民	4	0.00047180938900684123
朴熙道	4	0.00047180938900684123
崔斗善	4	0.00047180938900684123
槿堂	4	0.00047180938900684123
崔啓哲	4	0.00047180938900684123
槿春	4	0.00047180938900684123
廉尙㸉	4	0.00047180938900684123
千正鐵	4	0.00047180938900684123
槿坡	4	0.00047180938900684123
錦園	4	0.00047180938900684123
琴澈	4	0.00047180938900684123
丁七星	4	0.00047180938900684123
洪文	4	0.00047180938900684123
星園	4	0.00047180938900684123
金昶濟	4	0.00047180938900684123
柳一宣	4	0.00047180938900684123
金尙七	4	0.00047180938900684123
張世英	4	0.00047180938900684123
許憲	4	0.00047180938900684123
安廓	4	0.00047180938900684123
如庵	4	0.00047180938900684123
헤성	4	0.00047180938900684123
金美理士	4	0.00047180938900684123
金元周	4	0.00047180938900684123
申南澈	4	0.00047180938900684123
金昌世	4	0.00047180938900684123
영구	4	0.00047180938900684123
姜友	4	0.00047180938900684123
李廷葓	4	0.00047180938900684123
金鍾淵	4	0.00047180938900684123
海雄	4	0.00047180938900684123
金泳煥	4	0.00047180938900684123
沈熏	4	0.00047180938900684123
鄭仁果	4	0.00047180938900684123
李龍珪	4	0.00047180938900684123
閔泰瑗	4	0.00047180938900684123
金志遠	4	0.00047180938900684123
宋在洪	4	0.00047180938900684123
于田	4	0.00047180938900684123
高永煥	4	0.00047180938900684123
金應濟	3	0.00035385704175513094
金幽影	3	0.00035385704175513094
權休汀	3	0.00035385704175513094
東恩	3	0.00035385704175513094
金益富	3	0.00035385704175513094
金俊璜	3	0.00035385704175513094
金素荷	3	0.00035385704175513094
金世元	3	0.00035385704175513094
그림자집	3	0.00035385704175513094
權相老	3	0.00035385704175513094
金在洪	3	0.00035385704175513094
金性奉	3	0.00035385704175513094
馬雲波	3	0.00035385704175513094
로철	3	0.00035385704175513094
金達鎭	3	0.00035385704175513094
김지원	3	0.00035385704175513094
金石山	3	0.00035385704175513094
金海星	3	0.00035385704175513094
金炯斗	3	0.00035385704175513094
金台英	3	0.00035385704175513094
金蘭紅	3	0.00035385704175513094
金泰秀	3	0.00035385704175513094
金治植	3	0.00035385704175513094
金華山	3	0.00035385704175513094
金昌集	3	0.00035385704175513094
金道賢	3	0.00035385704175513094
金永石	3	0.00035385704175513094
南宮琅	3	0.00035385704175513094
金鍊萬	3	0.00035385704175513094
金基柱	3	0.00035385704175513094
金雲浦	3	0.00035385704175513094
金昌德	3	0.00035385704175513094
金阿菁	3	0.00035385704175513094
긴내	3	0.00035385704175513094
金法麟	3	0.00035385704175513094
金秉運	3	0.00035385704175513094
金永信	3	0.00035385704175513094
金泰化	3	0.00035385704175513094
金月峰	3	0.00035385704175513094
金相回	3	0.00035385704175513094
金時勳	3	0.00035385704175513094
陸海	3	0.00035385704175513094
朴魯春	3	0.00035385704175513094
