단어1	단어2	빈도
노래	아리랑	64
위하	죄인	46
신라사	통속	46
내외	시평	32
만록	야사	30
행복	희	24
손	희	24
구	리지갈	22
일사	편편	20
눈	오	20
영화	조선	20
낙조	제일	18
부	제일	18
시평	음악	18
시평	연극	16
두자미초	절구	16
마적굴	조선	16
소년	조선	16
수호전	회	16
사막	인생	14
밤	오	14
문학	조선	14
시선	여류	14
구름	말하	12
농촌	현지	12
여성	현대	12
말하	좌담회	12
육수	절구	12
억지	춘향전	12
퀴리	｢	12
시선	역	12
네거리	순이	12
대하	문제	12
날	젊	12
뜰	우수	12
마스지로	오무라	12
백장미	부인	12
노래	캐묻	12
신라사	회	12
마음	어머니	10
날	오	10
봄	오	10
때	피	10
가	길	10
우화	크루이로프	10
고금명사	일화선	10
갈추	어	10
노벨상	작가선	10
대동아	전쟁	10
백두산	보굴	10
문제	문학	10
부인전	퀴리	10
여류시선	역	10
시평	영화	10
남극빙원	싸우	10
소년	싸우	10
묘사	심리	10
속어	조선	10
속어	해석	10
구절	날	10
공주	선화	10
소설	수업	8
미	여성	8
개설	조선	8
신문학사	조선	8
결전	하	8
우화	페돌스	8
국민	문학	8
사변	중국	8
문학선	전선	8
내리	눈	8
부인전	｣	8
길	성암	8
대전	세계	8
규수	조선	8
창작	평	8
꽃	내력	8
내력	전설	8
문학	이론	8
문학	중국	8
시대	유학	8
건설자	육	8
이태백	초	8
시선	후	8
감상	청년	8
꿈	보	8
보	얼굴	8
낙화암	전사막	8
사충	서원	8
보	현지	6
날	밤	6
문	좁	6
선후	소설	6
농민	문학	6
예술	인간	6
기다리	봄	6
기다리	마음	6
밀림	유정	6
열전	졸부	6
국민	생활	6
명작	세계	6
경개	명작	6
식량	증산	6
사람	일생	6
묘사	성격	6
내리	밤	6
삼	형제	6
부치	편지	6
생활	조각	6
백낙천	시초	6
역	칠	6
시단	시평	6
문학	특질	6
야담	전설	6
공영	남방	6
여류	작가	6
부인	퀴리	6
문단	풍토기	6
중국	현대	6
야담	일화집	6
실제	이론	6
바보	이반	6
제삼	회	6
여인	조선	6
창살	｢	6
없	창살	6
감옥	없	6
감옥	｣	6
결혼	전후	6
부	체신	6
늙	절도범	6
소설	장편	6
고서	조선	6
중심	하	6
만문	만화	6
제이집	초원	6
독후감	제이집	6
시조선	후	6
나이팅게일	플로렌스	6
겸삼	화전원	6
추억	파리	6
시조	현대	6
여성	잊히	6
재미나	조선	6
말	조선	6
문화	영화	4
영화	정신	4
여성	직업	4
문제	직업	4
글	보내	4
시월	창작평	4
농촌	통신	4
문예	시평	4
연극	영화	4
김옥균	사	4
사	오막구장	4
오막구장	전승	4
국민	예술	4
국민	극	4
새롭	위험	4
방랑	희곡	4
방랑	시인	4
김삿갓	시인	4
기행	의도	4
독본	소년	4
사람	잘나	4
가	바다	4
강	건너	4
낙향	소식	4
고민	여성	4
지원병	훈련소	4
여자	일생	4
농촌	문화	4
문단	조선	4
방	유리	4
문사	출신	4
문사	향토문화	4
말하	향토문화	4
세대	정신	4
기행	해인사	4
푸르	하늘	4
아기	자	4
이수	절구	4
전야	회	4
소설	역사	4
되	벗	4
신극	운동	4
체제	하	4
연극	하	4
논리	문학	4
문학	하	4
대동강	여름	4
문예	시감	4
병들	태양	4
서	태후	4
시대	천명	4
우화	중	4
위인	편모	4
거짓	효자	4
마음	사랑하	4
반도	애국보	4
야화	육호실	4
대전	유럽	4
대전	발발	4
음악	전쟁	4
유럽	질서	4
가	시집	4
조선	체제	4
로베르트	코흐	4
각오	국민	4
돌진하	저축	4
건국	만주	4
일주년	전쟁	4
독서	전쟁	4
동양	질서	4
감사	징병	4
대하	소감	4
아들	희성이	4
손	없	4
곱	의성	4
이춘보	전	4
듣	음악회	4
거슬리	눈	4
생활	최저	4
날	일기	4
인문	자연	4
보람	있	4
미술	시평	4
산업	전사	4
경연	연극	4
경연	대회	4
미학	토키	4
연극대	이동	4
기호	전공	4
딸	아들	4
∙	아들	4
아들	아버지	4
밤	울	4
만화	흥보전	4
애국열	｣	4
동아	전쟁	4
괴도	그림자	4
그림자	후일담	4
계유	병자	4
병자	정축	4
사육신	정축	4
남추강	사육신	4
말하	춘향	4
밑	산	4
밑	집	4
농촌	소식	4
보	역사	4
독일	잠수함전	4
변천	서도	4
산부인과	일기	4
