단어1	단어2	작가	공기어 사용 빈도	가장 많이 투고한 잡지
노래	아리랑	李顯奉	64	독립
위하	죄인	趙聖祉	46	성서조선
신라사	통속	靑頭巾	46	야담
내외	시평	李昌洙	30	조광
내외	시평	成仁基	2	조광
만록	야사	金炯瑢	28	야담
만록	야사	林耕一	2	야담
행복	희	李泰俊	24	문장
손	희	李泰俊	24	문장
구	리지갈	2783	2	인문평론
구	리지갈	2785	2	인문평론
구	리지갈	2787	2	인문평론
구	리지갈	2789	2	인문평론
구	리지갈	2791	2	인문평론
일사	편편	1531	2	야담
일사	편편	1532	2	야담
일사	편편	1533	2	야담
일사	편편	1546	2	야담
일사	편편	1556	2	야담
눈	오	金光均	4	인문평론
눈	오	金億	4	반도의 빛
눈	오	林仁洙	4	아이생활
눈	오	國本鍾星	2	아이생활
눈	오	朴甲	2	인문평론
