장르	작가	편수
소설	朴泰遠	55
소설	申鼎言	50
소설	李箕永	35
소설	金東仁	33
소설	蔡萬植	33
소설	적성	33
소설	李顯奉	32
소설	尹昇漢	26
소설	金玄松	26
소설	靑頭巾	24
수필	金敎臣	30
수필	崔貞熙	22
수필	永宗	21
수필	蔡萬植	19
수필	鄭人澤	19
수필	李軒求	18
수필	李孝石	18
수필	桂鎔默	17
수필	朴魯甲	17
수필	鄭寅燮	17
시	金億	56
시	金東煥	43
시	尹石重	32
시	朱耀翰	30
시	盧天命	24
시	李光洙	24
시	金光燮	23
시	尹崑崗	20
시	毛允淑	18
시	柳致環	18
평론	林和	25
평론	趙聖祉	23
평론	李昌洙	21
평론	崔載瑞	18
평론	李軒求	16
평론	柳光烈	15
평론	李泰俊	14
평론	桂貞植	14
평론	尹圭涉	14
평론	金正革	10
희곡	咸世德	11
희곡	朴英鎬	10
희곡	金玄松	8
희곡	朱永涉	4
희곡	宋影	2
희곡	牧一郞	2
희곡	金兌鎭	2
희곡	金永壽	2
희곡	靑葉薰	2
희곡	李石薰	2
