잡지	편수	비율
총 잡지 수	41	-
조광	1515	0.2568667344862665
야담	848	0.14377755171244488
문장	498	0.0844354018311292
삼천리	460	0.07799253984401493
인문평론	413	0.07002373685995253
반도의 빛	299	0.050695150898609695
춘추	283	0.04798236690403527
여성	220	0.03730077992539844
소년(1937)	219	0.037131230925737536
아이생활	179	0.030349270939301457
독립	110	0.01865038996269922
성서조선	105	0.01780264496439471
불교	103	0.017463546965072907
신세기	102	0.017293997965412006
박문	61	0.010342488979315022
초원	49	0.008307900983384199
가정지우	41	0.006951508986096982
신시대(1941)	39	0.006612410986775178
태양	31	0.005256018989487962
농업조선	29	0.004916920990166158
방송지우	28	0.004747371990505256
대동아	28	0.004747371990505256
한글	22	0.003730077992539844
시조	22	0.003730077992539844
신인간	22	0.003730077992539844
영화연극	21	0.003560528992878942
비판	20	0.00339097999321804
요양촌	18	0.003051881993896236
국민문학	18	0.003051881993896236
농민생활	17	0.002882332994235334
광업조선	17	0.002882332994235334
사해공론	16	0.0027127839945744322
과학조선	15	0.00254323499491353
업	8	0.0013563919972872161
실생활	7	0.001186842997626314
부활운동	4	0.0006781959986436081
광화	3	0.000508646998982706
청년	3	0.000508646998982706
신앙세계	2	0.00033909799932180403
진단학보	2	0.00033909799932180403
활천	1	0.00016954899966090201
