단어	품사	빈도
문학	일반명사	80
노래	일반명사	72
영화	일반명사	59
밤	일반명사	51
봄	일반명사	48
소설	일반명사	44
시평	일반명사	44
생활	일반명사	41
길	일반명사	40
어머니	일반명사	38
문화	일반명사	37
농촌	일반명사	36
｣	일반명사	35
촌	일반명사	35
문제	일반명사	33
소년	일반명사	33
날	일반명사	32
속	일반명사	32
회	일반명사	31
｢	일반명사	31
가을	일반명사	30
시	일반명사	29
여성	일반명사	28
집	일반명사	28
이야기	일반명사	27
눈	일반명사	27
음악	일반명사	27
정신	일반명사	26
바다	일반명사	26
연극	일반명사	26
조선	고유명사	85
아리랑	고유명사	33
중국	고유명사	27
수호전	고유명사	17
동천홍	고유명사	14
유럽	고유명사	12
일본	고유명사	12
대수양	고유명사	11
｢	고유명사	11
만주	고유명사	10
춘향전	고유명사	10
여류시선	고유명사	10
서울	고유명사	8
독일	고유명사	8
경성	고유명사	8
애경	고유명사	8
미국	고유명사	8
배비장	고유명사	8
이	고유명사	7
완	고유명사	7
동아	고유명사	7
일	고유명사	7
만주여행기	고유명사	7
하얼빈	고유명사	7
순이	고유명사	7
밤차	고유명사	7
신간평	고유명사	7
태평양	고유명사	6
유진오	고유명사	6
생명선	고유명사	6
가	동사	41
보	동사	37
대하	동사	33
오	동사	31
위하	동사	30
되	동사	20
말하	동사	18
읽	동사	16
하	동사	14
피	동사	11
사랑하	동사	11
울	동사	11
돌아오	동사	10
서	동사	9
싸우	동사	9
쓰	동사	8
맞	동사	8
관하	동사	8
자	동사	7
주	동사	7
보내	동사	6
기다리	동사	6
찾	동사	6
내리	동사	6
넘	동사	6
캐묻	동사	6
늙	동사	5
숨	동사	5
잡	동사	5
잃	동사	5
없	형용사	25
있	형용사	23
희	형용사	15
젊	형용사	12
아름답	형용사	10
푸르	형용사	9
슬프	형용사	7
좋	형용사	7
그립	형용사	7
위대하	형용사	6
곱	형용사	5
새롭	형용사	4
이렇	형용사	4
엄숙하	형용사	4
좁	형용사	3
진실하	형용사	3
즐겁	형용사	3
같	형용사	3
많	형용사	3
장하	형용사	3
어리	형용사	3
착하	형용사	2
조그마하	형용사	2
행복하	형용사	2
새파랗	형용사	2
깊	형용사	2
거룩하	형용사	2
가능하	형용사	2
찬란하	형용사	2
이상하	형용사	2
