단어1	단어2	빈도
각국	종교	16
내역	종교	16
개기	내역	16
소지	소천	14
개기	속	14
해안	해안	12
금강	천연	12
공원	천연	12
사람	육신	8
일	힘쓰	8
속	화악산	8
나폴레옹	제전	6
제전	혁신	6
전기	혁신	6
본	언행	6
본	아이	6
나무	신선	6
사람	하늘	6
사람	정성	6
쓰	일	6
갚	일	6
닦	일	6
고별문	졸업	6
마음	사람	6
일	하	6
어리	희생	6
청년	학우회	6
주지	학우회	6
봄	일가	6
일	있	4
꽃	말씀	4
꽃	젊	4
되	사람	4
사람	짐승	4
대접	사람	4
세계	양식	4
마음	한우	4
쓰	욕심	4
덕	한우	4
대하	환원	4
사람	성령	4
복	크	4
믿	일	4
마음	지키	4
사람	사람	4
기차	장원	4
꽃	장원	4
선생	왕양명	4
선생	실기	4
말	이르	4
닦	육신	4
소설	진담	4
속이	한울	4
고치	일	4
기도하	마음	4
실무	은행	4
근본	수도	4
의사	크	4
마음	바르	4
사랑하	한울	4
사람	사랑하	4
교우	새해	4
이익	적	4
대하	동포	4
기념	대하	4
대하	일	4
종법	통일하	4
일	통일하	4
달하	목적	4
마음	지휘	4
대하	취지	4
쌀	한울	4
대한사	해상	4
그릇	크	4
이름	작품	2
링컨	인물	2
밋그	인물	2
밋그	사업	2
전기	팔	2
에머슨	읽	2
명리	윤리	2
사람	좋	2
구	전기	2
금황제	독일	2
금황제	좌우명	2
뜨겁	피	2
세계	쾌소년	2
세계	주유	2
시보	주유	2
시보	제오보	2
나라	떠나	2
떠나	슬픔	2
이별하	태백	2
국민	사행	2
사행	표준	2
켈러	헬렌	2
여사	켈러	2
여사	장래	2
찬송하	화신	2
기왕	소년	2
기왕	장래	2
소년	여름	2
구름	여름	2
여름	자연	2
거년	차시	2
집필인	차시	2
집필인	풍류	2
대조선	정신	2
때	부르짖	2
위하	조상	2
천주당	층층대	2
러시아	화설	2
예수	크리스마스	2
강탄절	예수	2
땅	사람	2
땅	있	2
배	쥐어뜯	2
약	쥐어뜯	2
약	얻	2
바라오	원수	2
원수	자유	2
독자	첨존께	2
주정	지내	2
세상	지내	2
천국	확장하	2
공효	자비	2
시찰단	연합회	2
시찰단	조선	2
대하	조선	2
감상기	대하	2
문자	서계	2
기원	문자	2
인류	지구	2
원기	인류	2
안식일	학교	2
찬미	학교	2
성경	연구하	2
날	믿	2
살	쳐다보	2
예수	오	2
구원하	능	2
기다리	깨	2
곤하	쉬	2
오	죄인	2
기도하	깨	2
다니	때	2
때	찬미하	2
귀하	해	2
귀하	복	2
많	복	2
다니엘	정하	2
뜻	정하	2
복	행하	2
복	있	2
있	지혜	2
아들	있	2
예수	주	2
귀하	이름	2
일	주	2
멀	집	2
이	이름나	2
아이작	이	2
뉴턴	아이작	2
봄	학생	2
계집아이	슬기	2
더럽	아이	2
뒤끝	아이	2
말	이야기	2
상계	잘못	2
놀부	흥부	2
一	놀부	2
一	흥부	2
잘되	흥부	2
빼	어버이	2
낫	어버이	2
램	무섭	2
램	힘들	2
선비	이	2
못되	이	2
못되	선비	2
병환	아버지	2
범	이야기	2
범	참새	2
아씨	짓거리	2
거짓	아드님	2
아드님	아드님	2
반나절	선비	2
소	양	2
먹이	소	2
거룩하	먹이	2
거룩하	사람	2
되	이야기	2
이야기	정위	2
세	힘	2
세	이	2
개구리	소원	2
김	생원	2
생원	이	2
마님	이	2
뜨겁	정성	2
완악하	정성	2
도적	완악하	2
도적	동인	2
동인	정	2
서방	정	2
견디	말씀	2
등불	소경	2
계집애	시골	2
계집애	나라	2
나라	어질	2
어미	어질	2
되	어미	2
되	혹부리	2
색시	혹부리	2
본	생각	2
본	오누이	2
사랑	오누이	2
본	피하	2
으뜸	피하	2
나	옷	2
까마귀	이야기	2
까마귀	물	2
물	항아리	2
신선	일	2
선녀	일	2
색시	선녀	2
이야기	절기	2
말씀	천하	2
가난뱅이	먹적골	2
가난뱅이	세상	2
들먹들먹하	세상	2
