작가	편수	비율
총 작가 수	426	-
吳知泳	40	0.05442176870748299
崔南善	28	0.0380952380952381
崔讚植	21	0.02857142857142857
李鍾一	19	0.02585034013605442
中皐散人	16	0.021768707482993196
無心道人	14	0.01904761904761905
尹衡三	14	0.01904761904761905
李光洙	12	0.0163265306122449
紫霞山人	10	0.013605442176870748
金天一	8	0.010884353741496598
尹仁權	7	0.009523809523809525
李弼右	7	0.009523809523809525
玉泉子	6	0.00816326530612245
雲山頭陀	6	0.00816326530612245
李敦化	6	0.00816326530612245
朴熙宅	6	0.00816326530612245
惺庵生	6	0.00816326530612245
海東山人	6	0.00816326530612245
高昇明	5	0.006802721088435374
鄭桂玩	5	0.006802721088435374
崔安國	4	0.005442176870748299
洪命假	4	0.005442176870748299
白仁玉	4	0.005442176870748299
鳳凰山人	4	0.005442176870748299
天嘯子	4	0.005442176870748299
鄭烈模	4	0.005442176870748299
H.S.K	4	0.005442176870748299
玄相允	4	0.005442176870748299
北溪隱士	4	0.005442176870748299
돌매	3	0.004081632653061225
尹應奎	3	0.004081632653061225
任昌鎬	3	0.004081632653061225
林逸賢	3	0.004081632653061225
李駿錫	3	0.004081632653061225
李鍾麟	3	0.004081632653061225
이대위	3	0.004081632653061225
三一子	3	0.004081632653061225
李鳳崗	3	0.004081632653061225
安亨柱	3	0.004081632653061225
天嘯者	3	0.004081632653061225
韓世敎	3	0.004081632653061225
천연자	3	0.004081632653061225
太虛子	3	0.004081632653061225
L生	2	0.0027210884353741495
具鈴書	2	0.0027210884353741495
동화츅전	2	0.0027210884353741495
崔承澳	2	0.0027210884353741495
太華山人	2	0.0027210884353741495
權爾玉	2	0.0027210884353741495
靑城山房	2	0.0027210884353741495
金鳳國	2	0.0027210884353741495
金錫均	2	0.0027210884353741495
金建五	2	0.0027210884353741495
朴岐鳳	2	0.0027210884353741495
李昌薰	2	0.0027210884353741495
尹生	2	0.0027210884353741495
朴殷植	2	0.0027210884353741495
南史居士	2	0.0027210884353741495
文正國	2	0.0027210884353741495
李學根	2	0.0027210884353741495
然然子	2	0.0027210884353741495
金夏重	2	0.0027210884353741495
金敎慶	2	0.0027210884353741495
宋基彬	2	0.0027210884353741495
金宅道	2	0.0027210884353741495
白敬愛	2	0.0027210884353741495
白樂溫	2	0.0027210884353741495
金中建	2	0.0027210884353741495
金鴻楚	2	0.0027210884353741495
金明植	2	0.0027210884353741495
李命煥	2	0.0027210884353741495
金仁湜	2	0.0027210884353741495
金允五	2	0.0027210884353741495
金源澹	2	0.0027210884353741495
秦柄衡	2	0.0027210884353741495
金庚咸	1	0.0013605442176870747
金得弼	1	0.0013605442176870747
徐奎璘	1	0.0013605442176870747
金永周	1	0.0013605442176870747
錦頰山人	1	0.0013605442176870747
徐相和	1	0.0013605442176870747
徐荷嬅	1	0.0013605442176870747
薛允植	1	0.0013605442176870747
福德月	1	0.0013605442176870747
少年人	1	0.0013605442176870747
孫乙仁	1	0.0013605442176870747
權大完	1	0.0013605442176870747
宋啓源	1	0.0013605442176870747
孔炳台	1	0.0013605442176870747
宋鍾萬	1	0.0013605442176870747
承啓亨	1	0.0013605442176870747
申達秀	1	0.0013605442176870747
申養浩	1	0.0013605442176870747
雙荷子	1	0.0013605442176870747
김룡삼	1	0.0013605442176870747
김병렬	1	0.0013605442176870747
邊方基	1	0.0013605442176870747
金守洪	1	0.0013605442176870747
金用世	1	0.0013605442176870747
金禹範	1	0.0013605442176870747
金禎瑞	1	0.0013605442176870747
金周恒	1	0.0013605442176870747
김영조	1	0.0013605442176870747
金春英	1	0.0013605442176870747
金澤道	1	0.0013605442176870747
金永淳	1	0.0013605442176870747
金化銓	1	0.0013605442176870747
